id,bloco,tema,subtema_edital,pergunta,opcao_a,opcao_b,opcao_c,opcao_d,opcao_e,correta,explicacao
1,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,A missao institucional do IBGE e:,Fiscalizar a producao agropecuaria nacional,Retratar o Brasil com informacoes necessarias ao conhecimento de sua realidade e ao exercicio da cidadania,Regulamentar precos de mercado,Administrar politicas de assentamento rural,Emitir documentos de propriedade rural,B,E a frase literal da missao institucional do IBGE citada na apostila.
2,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,O IBGE foi fundado em:,1920,1930,1936,1940,1950,C,"O IBGE foi criado em 1936; o primeiro Censo Agropecuario, porem, foi em 1920, antes da existencia do IBGE."
3,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,A rede nacional do IBGE e composta por:,26 SES e 500 agencias,27 SES (26 capitais + 1 no DF) e 566 agencias municipais,27 SES e 645 agencias,26 SES e 5.569 agencias,27 SES e 10.744 agencias,B,27 Superintendencias Estaduais (26 nas capitais + 1 no DF) e 566 Agencias municipais.
4,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,"Sobre a periodicidade historica dos Censos Agropecuarios, e correto afirmar que:","Sempre ocorreram a cada 10 anos, sem excecoes","De 1940 a 1970 ocorreram a cada 10 anos; depois passaram a cada 5 anos (1975, 1980, 1985)",So existiram censos a partir do seculo XXI,Nunca houve interrupcao na serie historica,"O primeiro censo agropecuario foi em 1936, junto com a criacao do IBGE",B,A apostila detalha essa mudanca de periodicidade decenal para quinquenal a partir de 1975.
5,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,"O 12o Censo Agropecuario, Florestal e Aquicola tera sua coleta realizada em:","2025, com referencia a 2024","2026, com referencia a 2025","2027, com referencia a 2026","2028, com referencia a 2027","2027, com referencia a 2027",C,"A coleta ocorre em 2027, com dados de referencia relativos ao ano de 2026."
6,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,"Segundo a apostila, o IBGE contratara, para o 12o Censo Agropecuario em 2027, aproximadamente quantos profissionais temporarios?",10 mil,20 mil,36 mil,50 mil,66 mil,C,A apostila cita a contratacao de cerca de 36 mil profissionais temporarios por processos seletivos simplificados.
7,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,"O Censo Agropecuario previsto para 1990 nao pode ser realizado, sendo executado somente em:",1994,1995,1996,1997,2000,C,"Em 1990 nao foi possivel a execucao do censo, que so ocorreu em 1996."
8,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,A pesquisa do Censo Agropecuario segue recomendacoes de qual organismo internacional?,OMS,FAO (Organizacao das Nacoes Unidas para Alimentacao e Agricultura),ONU-Habitat,OMC,Banco Mundial,B,"A apostila cita a Estrategia Global para o Aprimoramento das Estatisticas Agropecuarias e o Programa Mundial de Censos Agropecuarios, ambos ligados a FAO."
9,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,"O Censo Agropecuario estima abranger, aproximadamente:",500 mil estabelecimentos,1 milhao de estabelecimentos,"5,1 milhoes de estabelecimentos agropecuarios",10 milhoes de estabelecimentos,566 mil estabelecimentos,C,"A apostila menciona cerca de 5,1 milhoes de estabelecimentos agropecuarios em diversos segmentos produtivos."
10,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,O Pronaf tem como objetivo:,Fiscalizar o uso de agrotoxicos,Fomentar o desenvolvimento sustentavel do meio rural e fortalecer a cidadania dos agricultores familiares,Financiar apenas grandes produtores,Substituir o Censo Agropecuario,Regular o comercio exterior de commodities,B,"O Pronaf visa ampliar a capacidade produtiva, gerar empregos e renda, melhorando a qualidade de vida da agricultura familiar."
11,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,NAO e um recorte territorial citado para agregacao dos resultados do censo:,Unidades de Conservacao,Terras Indigenas,Territorios Quilombolas oficialmente delimitados,Zonas eleitorais,Projetos de Assentamento,D,"A apostila cita Unidades de Conservacao, Terras Indigenas, Territorios Quilombolas, Biomas e Projetos de Assentamento; zonas eleitorais nao sao citadas."
12,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,A estratificacao dos dados do Censo considera:,Somente grandes produtores rurais,Apenas dados do agronegocio de exportacao,"Diferentes tipologias, como agricultura familiar, medio produtor, patronal e povos e comunidades tradicionais",Apenas municipios com mais de 100 mil habitantes,Somente estabelecimentos com CNPJ,C,O objetivo inclui oferecer informacoes estratificadas segundo diferentes tipologias do universo agropecuario.
13,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,"Os resultados do Censo Agropecuario sao referidos, no minimo, ao nivel de:",Rua,Municipio,Apenas estado,Apenas grande regiao,Apenas nacional,B,"A apostila afirma que os resultados sao referidos ao nivel dos Municipios, permitindo agregacoes por outros recortes."
14,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,Entre as metas do 12o Censo esta estruturar um cadastro de estabelecimentos agropecuarios com qual finalidade especifica?,Substituir o Cadastro Nacional de Enderecos,Implementar pesquisas amostrais futuras,Emitir certidoes de propriedade,Fiscalizar tributos rurais,Cadastrar eleitores rurais,B,Um dos objetivos listados e estruturar um cadastro de estabelecimentos agropecuarios especifico para pesquisas amostrais.
15,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,O Centro Nacional de Qualidade (CNQ) esta vinculado a:,Cada Posto Censitario isoladamente,"A Sede, orientando os Centros Estaduais de Qualidade (CEQ)",Apenas as Agencias municipais,Ao Ministerio da Agricultura,A FAO,B,"O CNQ e vinculado a Sede e orienta o trabalho dos CEQ, com visao nacional da coleta."
16,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,"Quem coordena todas as atividades censitarias no posto, subordinado ao AOR?",Recenseador,Agente Censitario Supervisor (ACS),Agente Censitario Regional (ACR),Agente Censitario de Informatica (ACI),Analista Censitario Nacional,C,O ACR coordena as atividades censitarias do posto e gerencia o trabalho dos ACS.
17,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,"A funcao do Agente Censitario Supervisor (ACS) e, principalmente:",Gerenciar o posto censitario como um todo,Supervisionar o trabalho dos Recenseadores e ministrar treinamento,Coordenar as Superintendencias Estaduais,Elaborar o mapa municipal estatistico,Representar o IBGE junto a FAO,B,"O ACS supervisiona e treina os recenseadores, servindo de elo entre a coleta e o posto censitario."
18,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,"O Recenseador deve se reportar, em caso de duvidas, a:",Diretamente ao Presidente do IBGE,Ao ACS (Agente Censitario Supervisor),Ao CNQ,A COAGRO,Ao Ministerio Publico,B,"O recenseador se reporta ao ACS, que presta orientacao tecnica e assistencia permanente."
19,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,"A estrutura permanente do IBGE, para fins censitarios, esta distribuida:",Somente em Postos Censitarios,"Na Sede (diretorias e coordenacoes-gerais) e nas SES, ligadas a presidencia",Somente nas Agencias municipais,Somente no CNQ,Somente nos Centros Estaduais de Qualidade,B,"A estrutura permanente fica na Sede e nas Superintendencias Estaduais, ligadas diretamente a presidencia."
20,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,A sigla ACQ corresponde a:,Agente Censitario de Qualidade,Analista Censitario Qualificado,Agente de Coleta e Qualificacao,Auditor de Contas e Qualidade,Agente Censitario Quilombola,A,"ACQ e o Agente Censitario de Qualidade, responsavel por supervisionar a qualidade dos dados em campo."
21,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,O Analista Censitario Estadual atua em conformidade com as orientacoes de quem?,Do Ministerio da Agricultura,Dos analistas censitarios nacionais lotados no CNQ,Exclusivamente do prefeito do municipio,Da FUNAI,Do SESAI,B,O Analista Censitario Estadual segue as orientacoes e demandas dos analistas nacionais do CNQ.
22,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,"Em uma escala 1:50.000, uma distancia de 4 cm no mapa corresponde, na realidade, a:",400 m,2 km,4 km,40 km,500 m,B,4 cm x 50.000 = 200.000 cm = 2.000 m = 2 km.
23,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,O Descritivo do Setor e composto por quantas partes?,2,3,4,5,6,D,"As 5 partes sao: ponto inicial/final, descricao do perimetro, setores a excluir, estruturas nao setorizadas, e acessibilidade/observacoes."
